x,r
5.945370251,19.90239916
6.23102364,20.03266439
6.516775376,20.16271374
6.802625331,20.29254706
7.088573379,20.42216419
7.374619391,20.55156499
7.660763239,20.6807493
7.947004793,20.80971697
8.233343925,20.93846785
8.519780505,21.06700179
8.806314402,21.19531863
9.092945487,21.32341823
9.379673629,21.45130044
9.666498696,21.57896511
9.953420558,21.70641208
10.24043908,21.83364122
10.52755414,21.96065236
10.81476559,22.08744537
11.1020733,22.2140201
11.38947715,22.34037639
11.67697699,22.46651411
11.9645727,22.5924331
12.25226414,22.71813322
12.54005117,22.84361433
12.82793365,22.96887628
13.11591146,23.09391892
13.40398446,23.21874211
13.69215251,23.34334571
13.98041547,23.46772957
14.26877321,23.59189354
14.55722559,23.7158375
14.84577248,23.83956129
15.13441372,23.96306477
15.42314919,24.0863478
15.71197875,24.20941024
16.00090225,24.33225195
16.28991956,24.45487279
16.57903054,24.57727261
16.86823504,24.69945129
17.15753293,24.82140867
17.44692407,24.94314463
17.73640831,25.06465902
18.02598551,25.1859517
18.31565553,25.30702254
18.60541823,25.4278714
18.89527346,25.54849815
19.18522109,25.66890264
19.47526096,25.78908475
19.76539294,25.90904433
20.05561687,26.02878126
20.34593263,26.14829539
20.63634005,26.2675866
20.926839,26.38665475
21.21742932,26.5054997
21.50811088,26.62412133
21.79888353,26.74251951
22.08974712,26.86069409
22.3807015,26.97864495
22.67174652,27.09637196
22.96288205,27.21387499
23.25410792,27.33115391
23.545424,27.44820858
23.83683013,27.56503889
24.12832616,27.68164469
24.41991195,27.79802587
24.71158735,27.91418229
25.0033522,28.03011383
25.29520635,28.14582037
25.58714965,28.26130176
25.87918196,28.3765579
26.17130312,28.49158864
26.46351298,28.60639388
26.75581139,28.72097348
27.04819819,28.83532732
27.34067323,28.94945527
27.63323637,29.06335722
27.92588743,29.17703304
28.21862628,29.2904826
28.51145276,29.40370579
28.80436671,29.51670249
29.09736798,29.62947257
29.39045642,29.74201592
29.68363186,29.85433241
29.97689415,29.96642192
30.27024315,30.07828434
30.56367868,30.18991955
30.85720059,30.30132743
31.15080874,30.41250786
31.44450295,30.52346073
31.73828308,30.63418591
32.03214895,30.7446833
32.32610043,30.85495277
32.62013734,30.96499422
32.91425953,31.07480753
33.20846685,31.18439258
33.50275912,31.29374926
33.79713619,31.40287746
34.0915979,31.51177706
34.38614409,31.62044796
34.6807746,31.72889004
34.97548927,31.83710318
35.27028794,31.94508729
35.56517044,32.05284225
35.86013662,32.16036795
36.15518631,32.26766428
36.45031935,32.37473113
36.74553557,32.4815684
37.04083482,32.58817597
37.33621692,32.69455375
37.63168173,32.80070162
37.92722906,32.90661947
38.22285877,33.01230721
